healpix,survey,program,fiber,targetid,ra,dec,wavelength,flux,significance,n_fibers,fwhm_pixels,band
4122,main,bright,154,-245109385,136.16632260317397,4.689876744756877,4080.000000000109,35.28495788574219,9.743544578552246,1,1,B
4122,main,bright,154,-245109385,136.16632260317397,4.689876744756877,4815.200000000276,12.062088966369629,5.060742378234863,2,2,B
4122,main,bright,154,-245109385,136.16632260317397,4.689876744756877,5027.2000000003245,11.533812522888184,5.429523468017578,2,2,B
4122,main,bright,156,-245109267,136.04474082820022,4.8619595748213325,5503.200000000433,8.56588077545166,5.085530757904053,2,2,B
4122,main,bright,169,-245109253,135.89550421053343,4.8337150068070445,4011.2000000000935,29.207679748535156,7.0096588134765625,2,1,B
4122,main,bright,169,-245109253,135.89550421053343,4.8337150068070445,4567.20000000022,13.953570365905762,5.31768798828125,2,2,B
4122,main,bright,169,-245109253,135.89550421053343,4.8337150068070445,5244.800000000374,22.127233505249023,11.734911918640137,2,3,B
4122,main,bright,169,-245109253,135.89550421053343,4.8337150068070445,5514.400000000435,12.613592147827148,6.641192436218262,2,2,B
4108,main,bright,14,-262310477,134.79116512157594,3.104874410170702,5043.200000000328,11.795865058898926,5.16834831237793,2,2,B
4108,main,bright,17,-262310506,135.01996385966623,2.9897989138114363,4713.600000000253,15.489253997802734,5.043263912200928,2,2,B
4108,main,bright,43,-215282118,135.11628501964404,2.979628342159532,4713.600000000253,20.4608154296875,6.654689788818359,2,1,B
4108,main,bright,56,-215282208,134.90962798285972,2.599872928709879,5169.600000000357,14.6690673828125,6.948942184448242,2,1,B
4108,main,bright,92,-231065169,134.93528437673012,3.4560703636890566,5386.400000000406,12.502406120300293,6.437564849853516,2,2,B
4108,main,bright,114,-246877190,135.15216288825843,2.7630020557401465,5296.000000000386,21.403831481933594,9.048097610473633,2,3,B
4108,main,bright,114,-246877190,135.15216288825843,2.7630020557401465,5393.600000000408,68.55949401855469,36.43105697631836,2,2,B
4108,main,bright,114,-246877190,135.15216288825843,2.7630020557401465,5402.40000000041,16.496234893798828,8.243536949157715,2,4,B
4108,main,bright,118,-246877161,135.0812196372419,2.7551869199920556,5402.40000000041,25.5679931640625,12.722007751464844,2,1,B
4108,main,bright,124,-246877366,135.48085248921677,2.9666359203403614,5296.000000000386,12.507034301757812,5.2901740074157715,2,3,B
4108,main,bright,125,-246877247,135.25502008196563,3.1122011611540707,4568.00000000022,27.01299476623535,9.417478561401367,1,3,B
4108,main,bright,130,-246877104,134.90548780910737,3.0362941798305974,5393.600000000408,16.39716339111328,8.775142669677734,2,1,B
4108,main,bright,144,-246877271,135.3211739908549,2.8446558545285483,4550.400000000216,21.130653381347656,7.057281017303467,2,2,B
4108,main,bright,144,-246877271,135.3211739908549,2.8446558545285483,5055.200000000331,11.194036483764648,5.021852970123291,2,2,B
4108,main,bright,14,-262310477,134.79116512157594,3.104874410170702,7285.600000000347,11.50464916229248,8.282214164733887,2,3,R
4108,main,bright,45,-215282366,134.58907167027434,2.9460750506074525,6758.400000000227,9.283843040466309,9.109091758728027,2,1,R
4108,main,bright,45,-215282366,134.58907167027434,2.9460750506074525,6825.600000000242,6.4120869636535645,7.4972243309021,2,2,R
4108,main,bright,53,-215282222,134.8424628047137,3.1846917449425094,6196.800000000099,7.925271511077881,6.108731269836426,1,1,R
4108,main,bright,117,-246877173,135.1052266956674,2.8640893448221134,6112.80000000008,10.087554931640625,7.160750389099121,2,1,R
4108,main,bright,118,-246877161,135.0812196372419,2.7551869199920556,6112.80000000008,8.689676284790039,6.143722057342529,2,2,R
4108,main,bright,118,-246877161,135.0812196372419,2.7551869199920556,6407.200000000147,9.515530586242676,7.468600749969482,2,1,R
4108,main,bright,123,-246877347,135.4543584828252,2.900621932448521,7460.800000000387,6.29743766784668,6.532188892364502,2,1,R
4108,main,bright,124,-246877366,135.48085248921677,2.9666359203403614,6121.600000000082,13.873533248901367,9.364041328430176,2,3,R
4108,main,bright,124,-246877366,135.48085248921677,2.9666359203403614,6125.600000000083,11.517736434936523,7.876805305480957,2,2,R
