file,fiber,ra,dec,wavelength,flux,significance,n_fibers,fwhm_pixels
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5155.200000000354,31.742097854614258,12.593915939331055,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5254.400000000376,19.759214401245117,5.577428817749023,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5299.200000000386,28.5108699798584,9.102717399597168,2,3
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5355.200000000399,27.387184143066406,9.352612495422363,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5433.600000000417,26.285799026489258,9.441349983215332,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5440.800000000419,16.353715896606445,5.422943115234375,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5496.000000000431,20.193098068237305,7.246308326721191,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5516.000000000436,22.076276779174805,7.089280128479004,1,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5538.400000000441,13.268678665161133,5.246973037719727,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5563.200000000446,19.53141975402832,8.53033447265625,2,3
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5683.200000000474,17.3902587890625,6.65551233291626,1,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5717.6000000004815,26.793167114257812,8.855070114135742,2,2
cframe-b0-00120449.fits,184,164.32625644409177,-1.9280478939368935,4096.000000000113,21.727094650268555,5.432742595672607,2,2
cframe-b0-00120449.fits,206,164.01463821480522,-1.7919924581804463,3619.2000000000044,145.45962524414062,8.226243019104004,2,1
cframe-b0-00120449.fits,206,164.01463821480522,-1.7919924581804463,3951.20000000008,35.25197219848633,6.943239212036133,2,2
cframe-b0-00120449.fits,206,164.01463821480522,-1.7919924581804463,4308.000000000161,28.26903533935547,7.656162738800049,2,2
cframe-b0-00120449.fits,206,164.01463821480522,-1.7919924581804463,4705.600000000251,21.88677978515625,8.676454544067383,2,1
cframe-b0-00120449.fits,206,164.01463821480522,-1.7919924581804463,4966.400000000311,21.600997924804688,8.044049263000488,2,1
cframe-b0-00120449.fits,206,164.01463821480522,-1.7919924581804463,5076.800000000336,16.28828239440918,5.103859901428223,1,2
cframe-b0-00120449.fits,206,164.01463821480522,-1.7919924581804463,5292.800000000385,14.920092582702637,5.827021598815918,1,2
cframe-b0-00120449.fits,206,164.01463821480522,-1.7919924581804463,5552.800000000444,15.038703918457031,5.767195224761963,2,2
cframe-b0-00120449.fits,206,164.01463821480522,-1.7919924581804463,5637.600000000463,13.262138366699219,5.700085163116455,2,2
cframe-b0-00120449.fits,219,164.04161581588517,-1.6577390440331214,3652.000000000012,78.04078674316406,5.867303371429443,1,1
cframe-b0-00120449.fits,219,164.04161581588517,-1.6577390440331214,4216.80000000014,18.45966911315918,5.852325439453125,2,3
cframe-b0-00120449.fits,219,164.04161581588517,-1.6577390440331214,4285.600000000156,18.445140838623047,5.60883903503418,2,2
cframe-b0-00120449.fits,219,164.04161581588517,-1.6577390440331214,4403.200000000183,30.2941837310791,6.250722885131836,2,1
cframe-b0-00120449.fits,219,164.04161581588517,-1.6577390440331214,5361.6000000004005,12.336668968200684,5.571805477142334,2,2
cframe-b0-00120449.fits,219,164.04161581588517,-1.6577390440331214,5553.600000000444,15.542695999145508,6.53032922744751,2,2
cframe-b0-00120449.fits,219,164.04161581588517,-1.6577390440331214,5796.000000000499,18.91526985168457,7.912988185882568,2,2
cframe-b0-00120449.fits,275,164.29279986943516,-1.2796976172243089,5561.600000000446,18.735910415649414,8.241345405578613,1,1
cframe-b0-00120449.fits,332,164.76013124728092,-1.873061131859784,3637.6000000000085,167.6246795654297,11.630880355834961,1,1
cframe-b0-00120449.fits,332,164.76013124728092,-1.873061131859784,3640.000000000009,87.29778289794922,5.316990375518799,2,3
cframe-b0-00120449.fits,332,164.76013124728092,-1.873061131859784,3705.600000000024,77.22687530517578,5.499290466308594,1,2
cframe-b0-00120449.fits,332,164.76013124728092,-1.873061131859784,3712.0000000000255,50.45293426513672,5.30633020401001,2,3
cframe-b0-00120449.fits,332,164.76013124728092,-1.873061131859784,3763.200000000037,69.03401184082031,7.386173725128174,2,3
cframe-b0-00120449.fits,332,164.76013124728092,-1.873061131859784,3764.8000000000375,61.119327545166016,5.911824703216553,2,2
cframe-b0-00120449.fits,332,164.76013124728092,-1.873061131859784,3771.200000000039,51.59124755859375,5.613835334777832,2,2
cframe-b0-00120449.fits,332,164.76013124728092,-1.873061131859784,3780.000000000041,47.25151062011719,6.0016045570373535,2,2
cframe-b0-00120449.fits,332,164.76013124728092,-1.873061131859784,3804.0000000000464,112.13624572753906,11.742005348205566,1,2
cframe-b0-00120449.fits,332,164.76013124728092,-1.873061131859784,3830.4000000000524,46.33327102661133,6.395669937133789,2,1
cframe-b0-00120449.fits,332,164.76013124728092,-1.873061131859784,3848.0000000000564,66.81381225585938,6.917758464813232,2,1
cframe-b0-00120449.fits,332,164.76013124728092,-1.873061131859784,3852.8000000000575,82.4849853515625,12.296966552734375,1,1
cframe-b0-00120449.fits,332,164.76013124728092,-1.873061131859784,3884.0000000000646,43.82974624633789,8.493714332580566,2,2
