targetid,fiber,ra,dec,wavelength,flux,snr,width_pixels,tile,camera
616094235451458084,110,149.40897941193225,69.23587295219795,7484.800000000392,12.347265243530273,12.59729290008545,2,80944,R
616094235451457658,115,149.52704328297298,69.1449452899204,6260.800000000114,12.925209999084473,14.554672241210938,3,80944,R
616094228866401078,171,149.88234249263186,68.54850630669158,7243.200000000337,14.70091438293457,11.407853126525879,3,80944,R
616094231085187835,248,149.30600095592803,68.77606996164752,6427.200000000152,12.365575790405273,13.30309009552002,3,80944,R
616094231093575875,341,150.84426088180732,68.65643045501903,5940.800000000041,186.58567810058594,24.18067741394043,2,80944,R
616094228870595376,342,150.67781994554085,68.54482894336878,5940.800000000041,131.17112731933594,29.48588752746582,2,80944,R
616094231093575958,452,150.5914356440266,68.67549827764267,6478.400000000163,21.25092124938965,15.859506607055664,3,80944,R
616094231093575848,492,150.6849605000283,68.64966822361197,6818.400000000241,7.699971675872803,10.222567558288574,3,80944,R
616094300551250325,27,163.71402278842294,78.95133200365407,6130.400000000084,69.07177734375,15.347151756286621,3,80949,R
616094300551250325,27,163.71402278842294,78.95133200365407,6571.200000000184,72.3572998046875,15.801831245422363,3,80949,R
616094300551250325,27,163.71402278842294,78.95133200365407,6722.400000000219,83.91096496582031,19.153043746948242,2,80949,R
616094300555444783,47,164.4615692919079,78.98064852201666,6103.200000000078,55.55802917480469,13.075763702392578,3,80949,R
616094300555444520,62,165.16344810775556,78.9311835732282,7307.200000000352,67.1210708618164,16.618375778198242,2,80949,R
616094299368456559,65,164.257751867259,78.69559852057586,6312.800000000126,81.2782211303711,15.940940856933594,3,80949,R
616094300555444540,89,165.7216056634474,78.94083156414058,5990.400000000052,114.87144470214844,22.399324417114258,2,80949,R
616094300555444540,89,165.7216056634474,78.94083156414058,6127.2000000000835,56.89854431152344,12.619757652282715,3,80949,R
616094300555444540,89,165.7216056634474,78.94083156414058,6505.6000000001695,60.82896423339844,14.490801811218262,3,80949,R
616094299368456763,92,164.49511836365534,78.73874066951288,5953.600000000044,48.90113830566406,10.477385520935059,2,80949,R
616094299368456564,94,164.0866166044959,78.69416202750458,6449.600000000157,57.38922882080078,13.79666805267334,3,80949,R
616094299368456564,94,164.0866166044959,78.69416202750458,7475.20000000039,54.02463150024414,14.6752347946167,2,80949,R
616094300551250866,106,164.4406142396133,79.0750126926234,6227.200000000106,46.93245315551758,10.416213035583496,2,80949,R
616094300551250866,106,164.4406142396133,79.0750126926234,6780.800000000232,43.91244125366211,10.556032180786133,3,80949,R
616094300551250866,106,164.4406142396133,79.0750126926234,7075.200000000299,194.27244567871094,34.040565490722656,2,80949,R
616094300551250866,106,164.4406142396133,79.0750126926234,7383.200000000369,56.60159683227539,12.787555694580078,3,80949,R
616094302837146023,126,164.99645438757707,79.45937024515294,6764.8000000002285,145.72149658203125,34.74319839477539,3,80949,R
616094302841340592,131,165.5414090120499,79.51114804175249,6834.400000000244,60.42721939086914,15.337432861328125,3,80949,R
616094300551250777,133,163.79742459491604,79.0557109792625,7309.600000000352,73.81771087646484,19.32462501525879,2,80949,R
616094302841341122,138,165.3468327504027,79.62323715130694,5977.6000000000495,97.50519561767578,20.51258087158203,3,80949,R
616094302841341122,138,165.3468327504027,79.62323715130694,7487.200000000393,50.4097785949707,10.478292465209961,2,80949,R
616094302837146444,149,164.95258172512422,79.55566024279518,5804.00000000001,257.9478454589844,22.429706573486328,2,80949,R
616094302837146444,149,164.95258172512422,79.55566024279518,6730.400000000221,60.24346923828125,14.50759220123291,2,80949,R
616094298160497844,159,165.9276226364216,78.6235212304438,6034.400000000062,102.1137924194336,19.30006217956543,3,80949,R
616094298160497844,159,165.9276226364216,78.6235212304438,7235.200000000335,39.583133697509766,10.168966293334961,3,80949,R
616094298156303119,171,164.75847096578147,78.54110705049288,7528.000000000402,60.68101501464844,14.744815826416016,3,80949,R
616094299368456192,183,164.89216517525415,78.62579782210733,7280.000000000346,66.15878295898438,16.002384185791016,3,80949,R
616094300559639492,208,166.32667324498655,79.0720769180849,6952.000000000271,61.10176467895508,13.72367000579834,3,80949,R
616094300559639492,208,166.32667324498655,79.0720769180849,6959.200000000273,55.60881805419922,12.472761154174805,3,80949,R
616094301713072316,210,166.26260298435025,79.16229815275845,7033.60000000029,60.801876068115234,14.475847244262695,3,80949,R
