rank,targetid,gaia_source_id,S,delta_rv_kms,rv_err_median_kms,n_epochs,mjd_span_days,rv_median_kms
59,2803245458128896,4541360881056172032,55.1424,61.0217,0.7303,2,0.9699,-342.8501
60,39627808841929821,2643165346891157248,54.9779,82.9965,1.0614,2,9.9696,-47.8896
61,39633314360852736,1033582475328992256,52.8781,78.7856,1.0529,2,88.8071,-0.2345
62,2803950516436992,1506649174246461440,51.6923,33.9229,0.4627,2,0.9819,-163.0945
63,39627462006542120,5146473428907850112,51.6093,64.4597,0.8634,2,29.9326,35.5838
64,39633338985611513,842055413855274752,51.5246,67.2166,0.9209,2,6.9979,-52.8534
65,39627796644890236,2645175352930411648,51.2545,36.6358,0.5053,2,83.7769,11.9900
66,39628100740325384,4542033610373418368,50.8989,54.0620,0.7491,2,1.9594,32.0678
67,39627931726645413,582983952928128256,50.6376,52.6402,0.7347,2,103.7190,105.3008
68,39636580524098043,2653356131757566080,49.5908,134.3081,1.9137,2,1.9985,-59.2085
69,2803447871045632,4555857323400405248,49.3888,43.2424,0.6096,2,0.9904,-112.0145
70,39633537980171835,1130657875909891584,49.3663,11.8362,0.1678,2,108.7137,-41.6343
71,39633421244305888,1100122028529171712,49.3568,71.6034,0.6895,4,83.8603,11.5706
72,39628308198989253,4556174704302728320,49.0858,38.5424,0.5492,2,0.9905,-43.5224
73,39627962982599031,3721468043906723072,48.7215,47.2841,0.5421,3,361.9869,-38.5560
74,39627660715886748,3776978400263336064,48.3245,16.0461,0.2331,2,26.9357,-19.3231
75,39627630776945009,3784105950030459136,48.2911,140.3877,1.9693,2,0.9968,29.4099
76,39627599122531087,3186237190938527104,48.0563,57.4417,0.8380,2,0.9992,-34.3715
77,39628495768256647,699668902873053952,47.8508,27.5740,0.4072,2,77.7700,5.9411
78,39633255690928739,838842713894036224,47.6530,49.5002,0.7334,2,54.8463,-8.6731
79,39633503238750989,1110080996833292928,47.5100,52.2925,0.5042,3,57.9231,-257.7241
80,39628522599219310,1456821059624461312,47.4123,22.0080,0.3241,2,54.8477,4.7584
81,39633474503576891,1057993729409844096,47.3645,20.4200,0.2478,3,354.0202,-31.2861
82,2803017896165377,4433125300014409472,46.9848,41.9626,0.6309,2,0.9938,-100.4129
83,39633216553879768,1510167989412752256,46.8103,21.1612,0.3140,2,56.8486,-45.5757
84,39633216591627951,1509604970740037760,46.3459,111.5603,1.1310,4,81.7781,-28.1168
85,39628234052076538,1203619268507848192,46.3279,46.1680,0.6690,2,11.9725,-69.3819
86,39627720887373656,3780700801174332544,45.4883,38.7436,0.5047,3,10.9583,-31.2257
87,39627819067643889,4431882954953802368,45.4142,47.5674,0.7165,2,0.9589,-102.4193
88,39632971094820270,1515703618141857536,45.0801,29.5486,0.4614,2,95.7330,44.6390
89,39628375819555336,1880283738128250368,44.7363,75.5781,1.1760,2,1.0941,-56.3674
90,39627875220980326,2647772369330631808,44.4599,59.9202,0.5777,3,34.9330,-38.6349
91,39627802722436283,2644688303638596608,44.1553,95.8891,1.5349,2,84.7813,-143.1852
92,39627931873448180,585703698018957696,44.0881,37.1176,0.5819,2,48.8718,-16.8979
93,39627618579909176,3774929048028444544,44.0259,18.9633,0.2376,3,79.7749,28.1323
94,39627657733736970,2635808411510039680,42.5707,16.8784,0.2754,2,13.9590,3.4304
95,2803011827007488,4436117449115376128,42.0678,21.3773,0.3544,2,0.9938,-127.0003
96,39627897522095048,4436743277388122624,41.6381,31.9710,0.5395,2,0.9938,40.9764
97,39633212497987663,1509957050682704128,41.1477,44.1403,0.7540,2,54.8518,19.7321
98,39627766324269586,2650234656901166336,40.7004,38.9337,0.6746,2,5.9800,-21.3783
99,39627861321057093,4436090304922179328,40.3206,82.0373,1.4122,2,3.9839,-41.0123
100,39628106629121906,4542079824221767296,40.1053,56.9429,0.9969,2,1.9594,20.2640
101,39627927398122168,4429017520275967104,39.6449,91.0709,1.6239,2,320.1313,-92.1510
102,39627819113775373,4384059211371626112,39.6161,57.6571,1.0057,2,8.9991,20.0370
103,39633259981701996,1512197550438736512,39.5588,35.6665,0.3693,3,245.3039,-46.2989
104,39633224732773644,1507457693250145792,39.5319,46.9540,0.6586,3,133.6223,-27.6188
105,39627806350512405,3660818742000022400,39.5077,50.8596,0.9002,2,241.3647,87.5278
106,2803048174845952,4386419970212360448,39.1628,47.8322,0.8635,2,0.9912,-360.3639
107,39627975045417910,3721003160941820672,38.9605,31.9818,0.5723,2,19.9270,-108.4074
108,39627914928460479,3714232054805162752,38.4077,192.6308,3.5424,2,0.9919,76.1766
109,39636465885385261,2635946086686065920,37.9014,30.0909,0.5614,2,29.9148,-185.7030
110,39632995740549879,1519202092341335552,37.7298,33.0162,0.6114,2,315.1342,-29.2476
111,39627782250041119,3659858391608249728,37.6853,28.1000,0.5204,2,10.9675,61.2752
112,39633207938779170,831540307422528128,37.6190,30.7811,0.5685,2,107.6901,21.1956
113,39628521638725190,700022529003147776,37.5447,37.2122,0.6955,2,77.7700,-19.7214
114,39633345168015726,1033533787580339712,37.4464,38.9961,0.7171,2,27.0280,40.3000
115,39633191937510501,1506251730856568448,37.3437,51.7863,0.9744,2,2.0037,-23.2574
116,39628403061560309,1880666810555602048,37.3401,56.0970,1.0234,2,1.0941,-8.7519
117,39633448280785075,1680345142119283456,37.1209,29.3960,0.5588,2,108.6992,-65.3946
118,39627784414301288,2653476665722355968,36.9759,67.9025,1.2847,2,1.9985,-82.8952
119,2803024032432128,4386246968929237504,36.9477,17.1510,0.3239,2,0.9935,-44.5231
120,39628408501573481,1880528070228199808,36.8215,41.9464,0.7688,2,1.0941,-24.9171
121,39627802630165847,2651379862685752832,36.7888,51.7372,0.9869,2,1.9689,-39.1372
122,2802969665863680,4383870507687094272,36.6626,21.4034,0.3991,2,8.9991,-165.8309
123,2803078264782848,4434845107999122560,36.6549,46.7324,0.9015,2,0.9912,6.1360
124,39627705397811736,6915099210023934080,36.5516,39.5011,0.5452,3,2.9774,41.8937
125,39628159359919101,4548962217252656000,36.3820,72.6206,1.4109,2,5.9707,7.3123
126,39627914756492069,3729056495204299904,36.2989,64.2512,1.2516,2,5.9863,14.6827
127,39633464848286622,1107943133914150272,36.2016,15.3681,0.3002,2,26.8799,-70.0571
128,39627861350420845,4433309743090097152,36.0987,60.4205,1.1810,2,300.2043,84.6620
129,2803150264205312,4442605839024842880,36.0541,29.0357,0.5677,2,0.9918,-215.5552
130,39628135980860816,4542769458530237184,35.8536,65.8811,1.2825,2,1.9594,-21.2752
131,39632966057460012,1515134376059730176,35.8187,16.5200,0.3239,2,12.1095,-23.4770
132,39627830560036183,3667152964063118208,35.7405,38.7849,0.6937,2,284.2141,1.3265
133,39627640549675492,2488597685885082624,35.6616,48.0704,0.6611,4,17.9674,23.9411
